iter,ticks_until_defeat,mage_dmg_percent,range_dmg_percent,proc_percent
119,168,50.56390977443609,49.43609022556391,33.1047619047619
105,164,56.451612903225815,43.54838709677419,34.85714285714286
109,152,53.14250155569384,46.85749844430616,33.44761904761905
124,152,43.850931677018636,56.149068322981364,33.33333333333333
121,164,50.8871989860583,49.1128010139417,33.79047619047619
112,152,52.44798041615667,47.55201958384333,32.41904761904762
125,180,46.28312863606981,53.71687136393019,34.97142857142857
127,164,48.7227414330218,51.27725856697819,32.761904761904766
120,168,49.719975108898566,50.28002489110143,32.68571428571428
130,144,47.81783681214421,52.18216318785579,34.43809523809524
132,136,52.43376463339495,47.566235366605056,33.6
122,124,49.30006086427267,50.69993913572732,32.838095238095235
129,136,43.7041564792176,56.2958435207824,33.1047619047619
136,156,57.441418619379355,42.558581380620645,34.51428571428571
133,164,53.333333333333336,46.666666666666664,33.33333333333333
126,180,48.5180412371134,51.48195876288659,34.78095238095238
139,140,49.822274881516584,50.17772511848341,31.123809523809527
140,140,54.61773700305811,45.3822629969419,33.14285714285714
131,172,52.01021059349075,47.98978940650925,34.20952380952381
128,180,50.47923322683706,49.52076677316294,34.285714285714285
138,164,47.64299182903834,52.35700817096166,33.2952380952381
123,180,54.797166773985836,45.202833226014164,34.74285714285714
141,168,44.310235219326124,55.68976478067387,33.98095238095238
137,164,47.979474021808855,52.020525978191145,34.51428571428571
134,164,44.598862918509155,55.40113708149084,33.6
143,180,45.10178117048346,54.898218829516544,34.01904761904762
135,164,53.23785803237858,46.76214196762142,32.72380952380952
142,168,58.06451612903226,41.935483870967744,34.85714285714286
145,172,53.7888198757764,46.2111801242236,32.57142857142858
151,132,54.791154791154796,45.20884520884521,33.40952380952381
152,144,48.02798982188295,51.972010178117046,34.78095238095238
153,168,56.26550868486352,43.734491315136474,32.49523809523809
155,156,55.85072738772928,44.149272612270714,34.43809523809524
154,156,54.192355117139336,45.807644882860664,32.87619047619047
148,156,55.4320987654321,44.567901234567906,32.95238095238095
146,168,50.30902348578492,49.69097651421508,32.266666666666666
157,140,49.02576995600251,50.97423004399748,34.81904761904762
149,140,54.166666666666664,45.83333333333333,32.34285714285715
161,152,48.77465630603706,51.22534369396294,30.933333333333334
159,140,53.6887786732796,46.3112213267204,33.98095238095238
160,172,42.5280199252802,57.471980074719795,32.72380952380952
162,152,51.42675967025999,48.57324032974002,34.59047619047619
165,156,52.95930949445129,47.0406905055487,32.87619047619047
147,200,52.507936507936506,47.492063492063494,33.14285714285714
164,172,52.57400257400258,47.42599742599742,34.7047619047619
163,184,53.48837209302325,46.51162790697674,34.17142857142857
144,148,51.02040816326531,48.97959183673469,33.06666666666666
156,164,53.62134688691233,46.37865311308767,33.94285714285714
168,148,52.94840294840295,47.05159705159705,32.647619047619045
171,164,52.92981326464906,47.07018673535093,34.74285714285714
169,152,51.18012422360248,48.81987577639752,33.33333333333333
150,156,49.809644670050766,50.19035532994924,34.62857142857143
175,148,54.394904458598724,45.605095541401276,34.85714285714286
176,156,49.93804213135068,50.06195786864932,33.180952380952384
167,136,53.333333333333336,46.666666666666664,34.85714285714286
166,164,47.815230961298376,52.18476903870163,32.87619047619047
177,180,46.65817950350096,53.34182049649905,34.05714285714286
158,152,47.3015873015873,52.6984126984127,34.66666666666667
174,156,39.629865985960436,60.370134014039564,34.97142857142857
172,164,50.155763239875384,49.84423676012461,32.761904761904766
179,172,52.0460358056266,47.9539641943734,34.32380952380952
181,164,49.26329276105061,50.7367072389494,34.43809523809524
170,164,48.164842240824214,51.835157759175786,34.74285714285714
182,152,39.53057442865966,60.46942557134033,32.990476190476194
180,164,45.34534534534534,54.65465465465466,30.476190476190478
173,136,49.87669543773119,50.1233045622688,33.63809523809524
190,116,43.7037037037037,56.2962962962963,34.476190476190474
185,172,50.37831021437579,49.62168978562421,33.48571428571429
188,172,40.4040404040404,59.59595959595959,33.561904761904756
192,140,45.28186274509804,54.71813725490197,33.25714285714286
183,156,56.79245283018868,43.20754716981132,34.095238095238095
195,148,42.64432029795158,57.35567970204841,33.2952380952381
178,184,47.65721331689273,52.34278668310728,31.352380952380955
196,132,48.57142857142857,51.42857142857142,34.095238095238095
193,168,54.65994962216625,45.34005037783375,33.40952380952381
194,156,57.356608478803,42.643391521197,33.561904761904756
187,168,50.03207184092366,49.96792815907633,34.51428571428571
198,140,43.667296786389414,56.33270321361059,34.97142857142857
189,180,52.28295819935691,47.71704180064308,34.66666666666667
184,180,42.93893129770993,57.06106870229007,34.01904761904762
201,168,58.801261829652994,41.198738170347006,33.523809523809526
202,164,49.25465838509317,50.745341614906835,32.57142857142858
203,152,53.362664990571965,46.637335009428035,34.05714285714286
199,164,47.78481012658228,52.21518987341772,33.714285714285715
207,140,47.580138277812694,52.4198617221873,34.81904761904762
206,148,54.81812380344607,45.18187619655393,34.97142857142857
200,132,49.693251533742334,50.306748466257666,33.33333333333333
205,156,52.68352868599629,47.3164713140037,32.91428571428571
204,148,52.09471766848816,47.90528233151184,31.923809523809528
191,152,53.21451304901337,46.78548695098663,34.81904761904762
186,184,51.0625,48.9375,32.19047619047619
197,144,55.3286534779834,44.67134652201659,34.97142857142857
214,136,53.324968632371395,46.675031367628605,34.7047619047619
212,144,51.05028644175684,48.94971355824316,34.81904761904762
209,164,53.8695917123705,46.13040828762949,31.390476190476193
215,140,44.29250891795481,55.70749108204518,31.352380952380955
216,156,42.21518987341772,57.78481012658227,34.476190476190474
217,172,50.12771392081737,49.87228607918263,34.24761904761905
220,156,48.95370957514268,51.04629042485732,34.59047619047619
219,164,41.45569620253164,58.54430379746836,33.714285714285715
208,164,50.632111251580284,49.367888748419716,33.63809523809524
222,140,50.50125313283208,49.49874686716792,34.62857142857143
211,164,55.15114127082048,44.84885872917952,32.15238095238095
213,168,52.71366188396757,47.28633811603244,32.838095238095235
223,152,49.90677439403356,50.09322560596644,33.371428571428574
224,156,53.26223337515684,46.73776662484316,33.94285714285714
225,168,54.71698113207547,45.28301886792453,33.33333333333333
210,172,61.21794871794872,38.782051282051285,34.476190476190474
218,140,49.691358024691354,50.308641975308646,33.714285714285715
227,164,42.02434336963485,57.975656630365144,34.43809523809524
228,164,55.491698595146865,44.50830140485313,34.24761904761905
229,164,53.15487571701721,46.845124282982795,34.13333333333333
221,168,41.9496855345912,58.0503144654088,33.33333333333333
226,152,50.03162555344719,49.968374446552815,34.43809523809524
231,144,45.41429475015813,54.58570524984188,34.43809523809524
233,140,44.29447852760736,55.70552147239264,33.33333333333333
237,156,47.61298535964354,52.38701464035647,34.81904761904762
236,184,51.146496815286625,48.853503184713375,33.33333333333333
234,184,49.90291262135923,50.09708737864078,34.285714285714285
238,172,55.78539107950873,44.21460892049127,34.97142857142857
235,156,50.12658227848101,49.87341772151899,34.476190476190474
240,156,52.25609756097561,47.74390243902439,32.19047619047619
232,148,49.12935323383085,50.87064676616916,33.40952380952381
230,152,42.246330567964264,57.753669432035736,34.97142857142857
244,156,49.17825537294564,50.821744627054365,34.4
239,156,49.49367088607595,50.50632911392405,34.476190476190474
247,152,55.98290598290598,44.01709401709402,32.266666666666666
245,148,49.40513462742642,50.59486537257357,33.82857142857143
248,172,53.90920554854981,46.09079445145019,33.48571428571429
