iter,ticks_until_defeat,mage_dmg_percent,range_dmg_percent,proc_percent
53,156,55.84170854271356,44.15829145728643,34.01904761904762
57,116,52.14460784313726,47.85539215686275,34.01904761904762
58,148,56.63449939686369,43.36550060313631,31.504761904761903
59,124,60.89108910891089,39.10891089108911,33.86666666666667
56,144,60.88888888888889,39.111111111111114,34.66666666666667
61,140,57.8980490874764,42.1019509125236,34.8952380952381
62,124,57.24953329184817,42.75046670815183,34.20952380952381
60,116,63.30498177399757,36.69501822600243,33.48571428571429
64,140,55.32047293092719,44.679527069072805,34.20952380952381
67,108,51.283618581907085,48.71638141809291,33.86666666666667
66,132,51.71767645221736,48.28232354778264,34.43809523809524
63,152,59.58775765146783,40.41224234853217,33.67619047619048
69,132,53.855421686746986,46.14457831325301,32.19047619047619
65,144,55.14660012476607,44.85339987523393,33.6
68,132,56.10663360198388,43.89336639801612,33.98095238095238
71,132,55.52795031055901,44.47204968944099,34.095238095238095
77,120,59.3094944512947,40.6905055487053,34.4
74,128,50.37593984962406,49.62406015037594,34.62857142857143
73,132,58.867454884878654,41.132545115121346,34.20952380952381
70,144,59.256965944272444,40.743034055727556,33.14285714285714
76,136,50.71561916614811,49.2843808338519,34.20952380952381
78,132,59.20398009950249,40.79601990049751,34.17142857142857
72,164,57.81049935979513,42.18950064020486,34.4
83,124,55.37897310513448,44.62102689486552,33.1047619047619
75,136,49.937655860349125,50.062344139650875,34.32380952380952
80,136,42.56926952141058,57.43073047858942,34.93333333333333
82,132,55.84975369458128,44.15024630541872,33.561904761904756
79,140,56.288532675709,43.711467324291,33.63809523809524
81,136,49.5321272613849,50.46787273861509,34.36190476190476
87,108,58.415841584158414,41.584158415841586,34.62857142857143
84,128,53.82244143033292,46.17755856966708,33.63809523809524
86,140,53.2675709001233,46.7324290998767,33.63809523809524
89,120,52.973977695167285,47.026022304832715,34.7047619047619
90,128,54.08225905463474,45.91774094536525,33.371428571428574
91,124,48.743718592964825,51.256281407035175,34.78095238095238
88,140,59.63930348258707,40.36069651741293,34.17142857142857
