iter,time,mager_dmg,ranger_dmg
620,144,761,738
621,136,786,735
622,120,783,690
623,164,578,827
624,136,804,688
625,164,822,944
626,144,853,577
627,164,604,807
628,132,831,628
629,148,832,678
630,156,724,740
631,140,876,589
632,140,719,796
633,128,903,586
634,160,739,762
635,144,614,841
636,124,849,664
637,152,685,774
638,136,594,888
639,148,673,798
640,140,671,777
641,160,570,867
642,160,827,627
643,144,710,799
644,144,625,828
645,140,795,651
646,156,820,705
647,152,789,642
648,168,709,745
649,152,639,805
650,152,606,839
651,144,682,768
652,144,536,946
653,152,677,800
654,128,776,687
655,144,836,635
656,132,801,675
657,124,814,662
658,128,823,667
659,124,896,597
660,180,714,724
661,144,719,761
662,168,717,758
663,140,754,761
664,152,690,803
665,156,667,785
666,164,783,683
667,136,838,700
668,164,650,839
669,152,799,659
670,144,779,733
671,136,746,738
672,152,753,757
673,136,930,563
674,144,653,812
675,144,633,852
676,176,674,806
677,112,813,658
678,148,681,778
679,144,733,720
680,128,767,721
681,152,741,734
682,164,658,780
683,128,658,822
684,124,594,893
685,132,747,728
686,156,659,770
687,176,617,856
688,172,818,705
689,152,725,721
690,164,708,799
691,140,775,674
692,144,801,737
693,124,622,841
694,140,759,745
695,152,733,721
696,176,770,704
697,128,671,778
698,128,852,684
699,144,771,694
700,152,646,839
701,144,763,702
702,164,718,745
703,140,628,845
704,168,720,754
705,144,721,775
706,120,831,760
707,168,707,748
708,160,603,824
709,144,823,658
710,132,727,719
711,156,846,605
712,128,789,658
713,136,717,744
714,156,795,636
715,128,790,792
716,160,727,704
717,132,797,709
718,148,893,642
719,148,668,785
720,164,801,658
721,164,643,788
722,124,631,934
723,164,643,774
724,156,749,687
725,148,739,738
726,144,768,771
727,144,819,694
728,144,768,761
729,144,758,711
730,144,858,666
731,140,742,719
732,144,795,702
733,156,658,784
734,152,808,629
735,128,635,833
736,120,961,599
737,136,762,758
738,152,752,703
739,156,694,735
740,132,661,834
741,148,733,708
742,132,817,641
743,124,708,741
744,132,703,743
745,140,734,822
746,180,682,788
747,132,753,717
748,152,695,777
749,144,829,676
750,176,821,643
751,164,703,777
752,144,682,783
753,140,774,735
754,120,558,915
755,148,714,763
756,156,622,844
757,152,772,748
758,148,787,656
759,148,667,813
760,136,694,783
761,140,857,608
762,144,707,772
763,156,808,645
764,152,819,625
765,140,753,696
766,148,610,848
767,144,849,585
768,136,658,822
769,144,735,733
770,144,655,803
771,132,762,696
772,124,720,728
773,120,722,772
774,152,840,610
775,140,729,737
776,156,821,652
777,144,645,880
778,148,735,765
779,140,725,781
780,148,778,674
781,144,675,858
782,144,863,644
783,144,804,633
784,144,744,728
785,156,740,727
786,128,833,707
787,152,669,808
788,164,671,749
789,132,721,784
790,148,626,798
791,108,875,717
792,136,820,646
793,156,893,622
794,148,725,716
795,128,775,787
796,120,755,758
797,156,776,729
798,140,804,697
799,144,714,724
800,160,681,790
801,132,603,840
802,164,692,754
803,152,790,692
804,136,769,763
805,156,751,682
806,148,804,628
807,144,639,846
808,116,726,838
809,144,768,707
810,136,761,701
811,136,730,767
812,140,688,761
813,148,851,612
814,156,846,691
815,152,742,754
816,156,598,831
817,144,817,660
818,152,637,787
819,160,660,832
820,156,668,804
821,136,817,630
822,136,702,769
823,132,767,701
824,152,792,672
825,144,675,845
826,152,788,706
827,148,794,700
828,152,794,679
829,164,654,761
830,132,785,725
831,152,777,681
832,136,799,702
833,144,894,561
834,156,594,833
835,156,706,824
836,148,733,717
837,148,771,718
838,124,719,775
839,140,632,862
840,148,729,754
841,160,657,821
842,128,713,764
843,140,706,805
844,144,729,760
845,140,704,828
846,132,727,745
847,144,710,722
848,136,557,912
849,152,732,742
850,140,824,636
851,144,697,834
852,144,742,691
853,144,783,689
854,140,723,768
855,280,1323,1365
856,152,627,837
857,124,713,763
858,140,626,855
859,152,646,802
860,136,621,837
861,164,644,791
862,152,559,877
863,160,741,696
864,164,677,796
865,152,723,730
866,148,854,619
867,144,607,853
868,176,781,739
869,144,693,766
870,164,771,658
871,140,736,715
872,132,723,746
873,148,697,784
874,144,724,778
875,140,751,765
876,124,818,687
877,140,672,773
878,140,677,770
879,140,663,806
880,148,572,847
881,144,881,628
882,152,796,679
883,144,719,771
884,144,779,662
885,120,774,720
886,148,720,780
887,156,660,791
888,140,841,634
889,144,614,820
890,148,802,733
891,156,672,769
892,152,733,734
893,124,637,832
894,136,715,756
895,140,809,663
896,156,657,795
897,148,590,848
898,128,820,685
899,132,775,751
900,148,722,710
901,136,760,747
902,160,646,799
903,140,621,839
904,132,760,725
905,144,689,796
906,168,812,667
907,136,848,623
908,160,634,794
909,156,732,725
910,136,783,669
911,144,833,671
912,132,657,815
913,168,676,772
914,132,674,804
915,128,788,680
916,144,761,674
917,140,529,932
918,160,680,764
919,160,836,696
920,156,627,837
921,160,750,797
922,140,753,692
923,132,699,750
924,152,552,906
925,144,650,805
926,156,634,845
927,124,606,851
928,168,790,681
929,144,710,729
930,160,644,805
931,144,708,846
932,164,831,614
933,124,758,743
934,172,555,911
935,124,623,871
936,152,782,685
937,124,670,798
938,152,834,681
939,168,717,832
940,152,727,762
941,140,729,747
942,148,730,702
943,140,686,785
944,164,823,696
945,148,890,561
946,172,712,739
947,168,699,732
948,136,819,757
949,144,586,846
950,160,725,783
951,152,724,709
952,144,622,828
953,144,697,750
954,148,596,870
955,112,794,727
956,132,659,815
957,128,887,639
958,152,607,852
959,140,902,588
960,140,650,809
961,144,697,772
962,144,581,862
963,124,762,726
964,144,729,766
965,144,728,733
966,140,809,678
967,160,636,798
968,148,664,819
969,132,770,714
970,164,780,644
971,152,904,612
972,140,618,842
973,140,709,752
974,152,597,859
975,124,672,826
976,152,787,658
977,128,540,963
978,140,737,748
979,164,806,619
980,128,807,691
981,160,880,668
982,148,677,765
983,144,752,707
984,136,738,751
985,152,774,659
986,140,727,768
987,124,909,635
988,124,678,808
989,136,567,886
990,144,662,815
991,144,557,891
992,140,750,705
993,132,752,726
994,132,854,663
995,184,595,888
996,148,827,646
997,148,781,679
998,140,734,735
999,148,710,850
1000,132,638,844
